epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,837.707,1.19161,1.09868,1.10625,0.39335,0.49098,0.45432,0.32159,1.30552,1.09401,1.06096,0.0082576,0.0082576,0.0082576
90,846.922,1.19348,1.10241,1.10534,0.55342,0.45276,0.46471,0.33598,1.30784,1.0983,1.06142,0.0082378,0.0082378,0.0082378
91,856.202,1.19117,1.11122,1.10497,0.51967,0.46012,0.4638,0.3357,1.3017,1.0961,1.05835,0.008218,0.008218,0.008218
92,865.378,1.18296,1.08701,1.10184,0.37192,0.47025,0.4682,0.33695,1.2978,1.0976,1.05754,0.0081982,0.0081982,0.0081982
93,874.585,1.17829,1.09368,1.10346,0.51351,0.46897,0.46477,0.33566,1.29576,1.0981,1.0577,0.0081784,0.0081784,0.0081784
94,883.788,1.18123,1.08936,1.10427,0.57218,0.4387,0.44831,0.32226,1.30159,1.10164,1.05982,0.0081586,0.0081586,0.0081586
95,892.994,1.19407,1.1012,1.10444,0.47018,0.44134,0.4477,0.32367,1.30496,1.09495,1.05979,0.0081388,0.0081388,0.0081388
96,902.177,1.18509,1.08183,1.09989,0.59982,0.44625,0.44749,0.32535,1.31309,1.10119,1.06153,0.008119,0.008119,0.008119
97,911.377,1.18291,1.08615,1.09922,0.71021,0.44783,0.4487,0.32239,1.30576,1.09202,1.05938,0.0080992,0.0080992,0.0080992
98,920.555,1.17448,1.07761,1.09539,0.66363,0.45783,0.44498,0.32248,1.30098,1.09376,1.05824,0.0080794,0.0080794,0.0080794
99,929.753,1.17134,1.08131,1.09593,0.71695,0.44759,0.46606,0.33039,1.30574,1.09194,1.06054,0.0080596,0.0080596,0.0080596
100,938.975,1.16625,1.06856,1.093,0.7223,0.45243,0.47778,0.33537,1.30154,1.08351,1.05917,0.0080398,0.0080398,0.0080398
101,948.175,1.19174,1.08506,1.09877,0.78263,0.43778,0.47937,0.33757,1.29148,1.07305,1.05518,0.00802,0.00802,0.00802
102,957.385,1.16922,1.07365,1.0926,0.81855,0.428,0.47734,0.336,1.28914,1.07535,1.05369,0.0080002,0.0080002,0.0080002
103,966.578,1.18388,1.0762,1.09464,0.80174,0.43275,0.47731,0.33821,1.286,1.07625,1.0522,0.0079804,0.0079804,0.0079804
104,975.791,1.17628,1.07165,1.09713,0.83523,0.41666,0.47666,0.33962,1.28593,1.07915,1.05179,0.0079606,0.0079606,0.0079606
105,984.988,1.16847,1.06365,1.09013,0.81662,0.42837,0.47629,0.34274,1.28928,1.08209,1.05128,0.0079408,0.0079408,0.0079408
106,994.195,1.16573,1.06116,1.09068,0.81733,0.42952,0.47446,0.33743,1.288,1.07755,1.0511,0.007921,0.007921,0.007921
107,1003.37,1.16362,1.06621,1.09341,0.80467,0.43349,0.47599,0.33884,1.28421,1.07424,1.04812,0.0079012,0.0079012,0.0079012
108,1012.54,1.1665,1.06268,1.08635,0.75568,0.45077,0.4723,0.34234,1.28131,1.07496,1.04609,0.0078814,0.0078814,0.0078814
109,1021.72,1.16566,1.06126,1.09134,0.7362,0.44907,0.47187,0.3447,1.278,1.06957,1.04581,0.0078616,0.0078616,0.0078616
110,1030.94,1.15494,1.0495,1.08732,0.57614,0.45355,0.4801,0.34624,1.27567,1.07089,1.04496,0.0078418,0.0078418,0.0078418
111,1040.17,1.17701,1.05948,1.08865,0.56223,0.46008,0.47972,0.34852,1.27409,1.06444,1.0437,0.007822,0.007822,0.007822
112,1049.39,1.16387,1.05462,1.08815,0.55142,0.45812,0.46797,0.34498,1.27149,1.06296,1.04252,0.0078022,0.0078022,0.0078022
113,1058.59,1.15903,1.04253,1.08129,0.59875,0.44831,0.46595,0.34455,1.26892,1.06118,1.04096,0.0077824,0.0077824,0.0077824
114,1067.78,1.16044,1.04678,1.08926,0.61546,0.446,0.46459,0.34398,1.2681,1.05845,1.03929,0.0077626,0.0077626,0.0077626
115,1077,1.15699,1.0424,1.08595,0.60842,0.44552,0.46176,0.34208,1.26551,1.0572,1.03851,0.0077428,0.0077428,0.0077428
116,1086.19,1.15714,1.04136,1.08527,0.62737,0.44797,0.46315,0.34124,1.26417,1.05722,1.03778,0.007723,0.007723,0.007723
117,1095.37,1.16391,1.04948,1.08545,0.61025,0.44647,0.46082,0.34161,1.26729,1.05858,1.03934,0.0077032,0.0077032,0.0077032
118,1104.58,1.16224,1.04914,1.08452,0.61906,0.44552,0.45828,0.33989,1.26518,1.05422,1.03743,0.0076834,0.0076834,0.0076834
119,1113.77,1.15443,1.03902,1.08519,0.67315,0.44278,0.45951,0.34148,1.26388,1.0494,1.03689,0.0076636,0.0076636,0.0076636
120,1122.99,1.14605,1.04091,1.07977,0.69111,0.44463,0.46304,0.34218,1.26331,1.05012,1.03637,0.0076438,0.0076438,0.0076438
